latitude,longitude,way_id
36.9032129,126.3202675,22782079
36.9031115,126.319499,22782079
36.9033143,126.3194264,22782079
36.9035191,126.3193654,22782079
36.9036368,126.3194426,22782079
36.9037644,126.3194089,22782079
36.9038225,126.3196495,22782079
36.9046766,126.3196041,22782079
36.9049723,126.3192925,22782079
36.9048408,126.3179984,22782079
36.9048823,126.3174726,22782079
36.9042873,126.3167876,22782079
36.9042016,126.3162865,22782079
36.9048103,126.3139823,22782079
36.9053497,126.313137,22782079
36.3982094,126.4647963,22782110
36.3982458,126.4650117,22782110
36.3984438,126.465144,22782110
36.3986616,126.4651254,22782110
36.3987904,126.4650941,22782110
36.3989191,126.4651367,22782110
36.3990702,126.4649991,22782110
36.3992585,126.4649385,22782110
36.3995593,126.4644719,22782110
36.399738,126.4642452,22782110
36.3998077,126.4639111,22782110
36.3999572,126.463646,22782110
36.4000992,126.4635303,22782110
36.4001651,126.4631682,22782110
36.4000986,126.4631204,22782110
36.4000496,126.4630388,22782110
36.4000177,126.4631377,22782110
36.3999684,126.4632089,22782110
36.3998526,126.4632126,22782110
36.3998068,126.4631307,22782110
36.3998553,126.4630564,22782110
36.3999485,126.4629761,22782110
36.3996154,126.4628867,22782110
36.399544,126.4626852,22782110
36.3995322,126.4625145,22782110
36.3994341,126.4623764,22782110
36.3993479,126.4625237,22782110
36.3992353,126.4625824,22782110
36.3992544,126.4627765,22782110
36.3992246,126.4629192,22782110
36.3990258,126.4630294,22782110
36.3988835,126.4632705,22782110
36.3986596,126.4636001,22782110
36.3984685,126.4642637,22782110
36.3982094,126.4647963,22782110
36.74687,126.1590904,22782162
36.7469291,126.1592111,22782162
36.747029,126.159301,22782162
36.7473879,126.1593573,22782162
36.747562,126.1593345,22782162
36.7477995,126.1592902,22782162
36.7479446,126.1592929,22782162
36.7480477,126.1593318,22782162
36.7481337,126.1594284,22782162
36.7482057,126.1596081,22782162
36.7483013,126.1599165,22782162
36.7484023,126.1602008,22782162
36.74847,126.1603966,22782162
36.7485238,126.1604731,22782162
36.748585,126.160512,22782162
36.7486516,126.1605281,22782162
36.7487107,126.1605012,22782162
36.7487537,126.1604583,22782162
36.7487978,126.1604007,22782162
36.7488655,126.1603323,22782162
36.7489643,126.1602934,22782162
36.749074,126.160284,22782162
36.7491922,126.1602733,22782162
36.7493254,126.160229,22782162
36.7495962,126.1600882,22782162
36.7499401,126.1598334,22782162
36.7502818,126.1595759,22782162
36.7505268,126.1594337,22782162
36.7507352,126.1593828,22782162
36.7510168,126.1593506,22782162
36.7511403,126.1592741,22782162
36.7512134,126.1591575,22782162
36.7512897,126.1589348,22782162
36.7513735,126.1588114,22782162
36.7514982,126.158731,22782162
36.7516615,126.158684,22782162
36.7518152,126.1586156,22782162
36.7520655,126.1584923,22782162
36.7522622,126.1582871,22782162
36.7522998,126.1582093,22782162
36.752318,126.1580953,22782162
36.752318,126.1579746,22782162
36.7523621,126.157878,22782162
36.7524051,126.1578459,22782162
36.7525888,126.1577962,22782162
36.7527597,126.1577345,22782162
36.7530928,126.1576487,22782162
36.7531223,126.1576487,22782162
36.7531443,126.1576608,22782162
36.7531712,126.1576983,22782162
36.7532937,126.1579491,22782162
36.7534012,126.1580819,22782162
36.7535441,126.1581999,22782162
36.7537235,126.1582898,22782162
36.7538628,126.1583305,22782162
36.7538761,126.1583263,22782162
36.7538789,126.1583147,22782162
36.7538762,126.1583025,22782162
36.7538565,126.1582857,22782162
36.7538385,126.158271,22782162
36.753558,126.1581328,22782162
36.7534484,126.1580497,22782162
36.7533592,126.1579558,22782162
36.7532722,126.1578056,22782162
36.753197,126.1576501,22782162
36.753096,126.1574797,22782162
36.7530272,126.1573537,22782162
36.7530004,126.1571807,22782162
36.75298,126.1570199,22782162
36.752938,126.1569017,22782162
36.752894,126.1568347,22782162
36.7528241,126.1567743,22782162
36.7527102,126.1567394,22782162
36.7526189,126.1567394,22782162
36.7524765,126.1567629,22782162
36.7523089,126.1568803,22782162
36.7521085,126.1571089,22782162
36.7518657,126.1574462,22782162
36.7517055,126.1576936,22782162
36.7515675,126.1578358,22782162
36.7514616,126.1579089,22782162
36.7513284,126.1579303,22782162
36.7511812,126.1579317,22782162
36.751034,126.1578888,22782162
36.7508717,126.1577426,22782162
36.7507304,126.1575287,22782162
36.7506675,126.1574475,22782162
36.7505923,126.1574033,22782162
36.7505085,126.1574019,22782162
36.7503817,126.1574556,22782162
36.7501528,126.1576876,22782162
36.7499798,126.1578204,22782162
36.7497961,126.1578807,22782162
36.7496628,126.1578646,22782162
36.7494028,126.1577708,22782162
36.7490868,126.1576822,22782162
36.7487365,126.157583,22782162
36.748498,126.1575803,22782162
36.7482981,126.157634,22782162
36.748081,126.1577627,22782162
36.7479822,126.1578056,22782162
36.7478951,126.1578163,22782162
36.7478027,126.1578163,22782162
36.747677,126.157807,22782162
36.74762,126.1578204,22782162
36.747577,126.15787,22782162
36.7475545,126.1579558,22782162
36.7475384,126.1580309,22782162
36.7474943,126.1581208,22782162
36.7474492,126.1581516,22782162
36.7474008,126.1581516,22782162
36.7473654,126.1581355,22782162
36.7473256,126.1581027,22782162
36.7473025,126.158094,22782162
36.7472842,126.1581,22782162
36.7472708,126.1581255,22782162
36.7472756,126.1581771,22782162
36.7472934,126.1582321,22782162
36.7473138,126.1582804,22782162
36.7473213,126.1583152,22782162
36.7473159,126.1583561,22782162
36.7472821,126.158391,22782162
36.7472235,126.1584091,22782162
36.7471719,126.1584172,22782162
36.7471128,126.1584172,22782162
36.7470161,126.1584426,22782162
36.7469527,126.1585459,22782162
36.7468861,126.1587149,22782162
36.7468366,126.1588812,22782162
36.74687,126.1590904,22782162
36.3323923,126.5049284,22782395
36.3323512,126.5050168,22782395
36.3323238,126.5051138,22782395
36.3323867,126.5053252,22782395
36.3324417,126.5057222,22782395
36.3325179,126.5058168,22782395
36.3335436,126.5146763,22782395
36.3335081,126.5147117,22782395
36.3334965,126.5149302,22782395
36.3335336,126.5152494,22782395
36.3335777,126.5153897,22782395
36.3336513,126.5154387,22782395
36.3337222,126.5154441,22782395
36.3338151,126.5153966,22782395
36.3338537,126.5153091,22782395
36.3338699,126.5151545,22782395
36.3338089,126.5149595,22782395
36.3336995,126.5147359,22782395
36.3326383,126.5053187,22782395
36.3326551,126.5051014,22782395
36.3326092,126.5049543,22782395
36.3325083,126.5048985,22782395
36.3323923,126.5049284,22782395
36.3870579,126.4113285,22782576
36.3870995,126.4117077,22782576
36.3874651,126.4122226,22782576
36.3874552,126.4126638,22782576
36.3877318,126.4131216,22782576
36.3880643,126.4131714,22782576
36.3885491,126.4130445,22782576
36.3888593,126.4126717,22782576
36.3889768,126.4119128,22782576
36.3889101,126.4111499,22782576
36.3887256,126.4108918,22782576
36.3886007,126.4107024,22782576
36.3879594,126.4107479,22782576
36.38775,126.41087,22782576
36.38763,126.4110399,22782576
36.3870579,126.4113285,22782576
36.7042423,126.1119591,22782596
36.7038918,126.1120605,22782596
36.7036596,126.1121517,22782596
36.703254,126.1123108,22782596
36.7032919,126.1126024,22782596
36.7034274,126.1128062,22782596
36.7034639,126.1130315,22782596
36.7035654,126.1132012,22782596
36.7037434,126.1134679,22782596
36.7037843,126.1133534,22782596
36.7038316,126.1132783,22782596
36.7038875,126.1135223,22782596
36.7039263,126.1137047,22782596
36.7038209,126.1137637,22782596
36.703776,126.1138753,22782596
36.703765,126.1140078,22782596
36.7039779,126.1141956,22782596
36.7040279,126.1142908,22782596
36.7041386,126.1144514,22782596
36.7040789,126.1145899,22782596
36.7041826,126.1147859,22782596
36.7042854,126.1149037,22782596
36.7043929,126.1149305,22782596
36.7045019,126.1152843,22782596
36.7045477,126.1153382,22782596
36.7045703,126.1153939,22782596
36.704632,126.115484,22782596
36.7047484,126.1155731,22782596
36.7048784,126.1156962,22782596
36.7051296,126.1159639,22782596
36.7053886,126.1161132,22782596
36.7055638,126.1162526,22782596
36.7056423,126.1162984,22782596
36.7056745,126.116395,22782596
36.7057828,126.1164866,22782596
36.7060014,126.1163118,22782596
36.706202,126.1163291,22782596
36.7064207,126.1165988,22782596
36.7066207,126.1166471,22782596
36.7067742,126.1165128,22782596
36.7069432,126.1165774,22782596
36.7070852,126.1167088,22782596
36.7072013,126.1168671,22782596
36.7073339,126.1170025,22782596
36.7074718,126.117189,22782596
36.7075721,126.1173347,22782596
36.707721,126.1174809,22782596
36.7080377,126.1173874,22782596
36.7082861,126.117407,22782596
36.7082439,126.1171685,22782596
36.7082506,126.1168912,22782596
36.7082205,126.116462,22782596
36.7081539,126.1161777,22782596
36.7080528,126.1158934,22782596
36.7082452,126.1161004,22782596
36.7083431,126.1160248,22782596
36.7083108,126.1157593,22782596
36.7083861,126.1156788,22782596
36.708442,126.1155369,22782596
36.7084097,126.1153114,22782596
36.7083659,126.1150872,22782596
36.7083237,126.1149225,22782596
36.7083581,126.1148447,22782596
36.7083552,126.1147128,22782596
36.7081582,126.1146918,22782596
36.7080496,126.1144812,22782596
36.7079668,126.1144638,22782596
36.7078625,126.1145148,22782596
36.7077485,126.1143592,22782596
36.7077438,126.1142347,22782596
36.7076883,126.1141969,22782596
36.7076733,126.1141768,22782596
36.7075991,126.1142009,22782596
36.7075668,126.1141232,22782596
36.7076324,126.1140735,22782596
36.7074916,126.1139408,22782596
36.7073585,126.1138821,22782596
36.7072939,126.1138052,22782596
36.7072013,126.1137664,22782596
36.7069948,126.1136886,22782596
36.7068379,126.1136323,22782596
36.7068271,126.1134338,22782596
36.7068013,126.113289,22782596
36.7068379,126.1131683,22782596
36.7068357,126.113029,22782596
36.7067562,126.1129296,22782596
36.7066852,126.1127713,22782596
36.7066379,126.1124495,22782596
36.7065153,126.1124924,22782596
36.7064465,126.1124629,22782596
36.7064056,126.1123851,22782596
36.7063669,126.1123019,22782596
36.7064659,126.1123368,22782596
36.7065046,126.1122671,22782596
36.7065906,126.1121893,22782596
36.7064788,126.112031,22782596
36.7064037,126.1117351,22782596
36.7062659,126.1117145,22782596
36.7062465,126.1119077,22782596
36.7061498,126.1118084,22782596
36.7060573,126.1118486,22782596
36.7059639,126.1118216,22782596
36.7059132,126.1117253,22782596
36.7058315,126.1117333,22782596
36.7056676,126.1117137,22782596
36.7055826,126.1115976,22782596
36.7054294,126.1115241,22782596
36.7053078,126.1114948,22782596
36.7052358,126.111677,22782596
36.7051563,126.1115617,22782596
36.705066,126.1115295,22782596
36.7049907,126.1115482,22782596
36.7049434,126.1116126,22782596
36.7048905,126.1117302,22782596
36.7047735,126.1117387,22782596
36.7049004,126.1116636,22782596
36.7048724,126.1115536,22782596
36.7049348,126.1114973,22782596
36.70498,126.1113095,22782596
36.7048367,126.1111745,22782596
36.7046509,126.1111298,22782596
36.7045133,126.1111432,22782596
36.7045069,126.1113363,22782596
36.7045026,126.1116099,22782596
36.7044617,126.1118379,22782596
36.7042423,126.1119591,22782596
36.8383459,126.1459635,22782678
36.8378052,126.1463987,22782678
36.8374542,126.1461557,22782678
36.8364798,126.1464611,22782678
36.8360522,126.1469147,22782678
36.8358008,126.1472755,22782678
36.8357125,126.1477913,22782678
36.8352642,126.1483172,22782678
36.8353139,126.1488746,22782678
36.8348319,126.1492882,22782678
36.8341238,126.1497213,22782678
36.833807,126.1504969,22782678
36.8332278,126.1508915,22782678
36.8333146,126.1521022,22782678
36.8327254,126.1533521,22782678
36.8325142,126.1539535,22782678
36.8316122,126.1541551,22782678
36.8308388,126.1558269,22782678
36.8309,126.15606,22782678
36.8303116,126.1562962,22782678
36.829763,126.155669,22782678
36.8291103,126.1561775,22782678
36.8295216,126.157134,22782678
36.8297205,126.1583503,22782678
36.8292184,126.1593297,22782678
36.827848,126.1599421,22782678
36.82662,126.1602104,22782678
36.8257742,126.1600338,22782678
36.8254524,126.1598491,22782678
36.8254227,126.1588965,22782678
36.8253464,126.1587915,22782678
36.824477,126.1575958,22782678
36.8238468,126.1577932,22782678
36.8228948,126.1578897,22782678
36.82221,126.1573399,22782678
36.822271,126.1569651,22782678
36.82242,126.15605,22782678
36.8227054,126.1555397,22782678
36.8223058,126.1550396,22782678
36.8217946,126.1548649,22782678
36.8215001,126.1551299,22782678
36.8212661,126.1554469,22782678
36.8211107,126.156168,22782678
36.8205143,126.1564273,22782678
36.8197665,126.1570342,22782678
36.8194412,126.1570353,22782678
36.8191506,126.1564998,22782678
36.8185864,126.1568822,22782678
36.8184113,126.1564193,22782678
36.8178479,126.156563,22782678
36.8170091,126.1559175,22782678
36.81624,126.1549999,22782678
36.8162901,126.1545051,22782678
36.8165038,126.1523968,22782678
36.8168164,126.1520216,22782678
36.8168095,126.1513199,22782678
36.8164298,126.1508041,22782678
36.8170731,126.1499199,22782678
36.816784,126.1493007,22782678
36.8162832,126.149156,22782678
36.8159418,126.1496689,22782678
36.81533,126.1500555,22782678
36.81524,126.15105,22782678
36.8141947,126.1517304,22782678
36.8137399,126.1525401,22782678
36.8138227,126.1542484,22782678
36.8123184,126.154282,22782678
36.8112719,126.1537976,22782678
36.8104005,126.1530509,22782678
36.8108977,126.1519929,22782678
36.8112036,126.1514746,22782678
36.8120173,126.1509116,22782678
36.8112213,126.1491491,22782678
36.811071,126.1485699,22782678
36.8107803,126.1479503,22782678
36.6760064,126.2655349,22782809
36.6756794,126.2655531,22782809
36.6748562,126.2649201,22782809
36.6744013,126.2646464,22782809
36.6740857,126.2649,22782809
36.6740245,126.2649679,22782809
36.6735229,126.2655248,22782809
36.6734409,126.2656158,22782809
36.6728428,126.2658674,22782809
36.6726219,126.2657244,22782809
36.6723955,126.2653213,22782809
36.6720307,126.2654967,22782809
36.6716459,126.2659218,22782809
36.6714973,126.2666691,22782809
36.6721245,126.2676272,22782809
36.6723607,126.2677105,22782809
36.6726079,126.2681668,22782809
36.6726641,126.2685484,22782809
36.6726422,126.2690744,22782809
36.67278,126.26934,22782809
36.672904,126.269442,22782809
36.6733878,126.2696279,22782809
36.6736769,126.2695761,22782809
36.6735648,126.270609,22782809
36.6730353,126.2721974,22782809
36.6730473,126.2725645,22782809
36.6729029,126.2725945,22782809
36.6724308,126.2731381,22782809
